id,code,name,price,price_bulk,total,category_id,description,image
1,XLKVX,Xilanh kích cabin VX350 VX400,850000,750000,15,1,Xilanh kích cabin chính hãng SINOTRUK,
2,TBTSI,Tăm bét trước SITRAK T7H,1200000,1000000,8,2,Tăm bét động cơ SITRAK chính hãng,
3,LDDC-A7,Lọc dầu động cơ HOWO A7,350000,280000,25,2,Lọc dầu động cơ chính hãng HOWO,
4,LC420,Lá côn HOWO 420,2500000,2200000,4,3,Lá côn ly hợp chính hãng 420mm,
5,PTTS,Phanh tang trống sau SITRAK,1800000,1600000,12,5,Phanh tang trống sau chính hãng,
6,DLKN,Đầu lọc khí nén HOWO,450000,380000,20,2,Lọc khí nén cho hệ thống phanh,
7,BML-HW,Bơm mỡ ly hợp HOWO,680000,600000,10,3,Bơm mỡ ly hợp thủy lực,
8,GKDL-A7,Giảm xóc đầu lọc A7,520000,450000,18,7,Giảm xóc cabin HOWO A7,
9,BTLC,Bơm thủy lực cabin,2500000,2200000,6,1,Bơm nâng cabin thủy lực,
10,MPH-G7S,Má phanh SITRAK G7,950000,850000,14,5,Má phanh đĩa SITRAK chính hãng,
11,LN-WD,Lọc nhiên liệu WD,280000,240000,30,2,Lọc nhiên liệu WD615/618,
12,DCBX,Dây curoa bơm xăng,180000,150000,40,2,Dây curoa bơm cao áp,
13,BNLT,Bạc nhíp lá thép,320000,280000,22,7,Bạc nhíp lá thép chính hãng,
14,TLDLM,Tay lái đầy lùi mới,1450000,1300000,7,1,Tay lái cabin HOWO,
15,BPHT,Bình phun hơi thắng,750000,680000,9,5,Bình phun hơi phanh hơi,
16,DTDN,Đường thanh dẫn nhựa,420000,380000,16,6,Đường dây điện cabin,
17,OKDL,Ống kẹp dầu lọc,95000,80000,50,2,Ống kẹp lọc dầu máy,
18,GXTS,Giảm xóc trước sau,1650000,1450000,11,7,Bộ giảm xóc HOWO chính hãng,
19,BLHS,Bánh lái hộp số,3200000,2900000,5,4,Bánh lái hộp số ZF,
20,MCAB,Motor cabin HOWO,4500000,4000000,3,1,Motor điện cabin HOWO A7
